Subject,Block,Event Label,Event,Net Power,BL_NetPower,Delta(NetPower)
GR0326,2,'Baseline1125',Baseline 1.125 m/s,2.307006306,2.307006306,0
GR0326,5,'AcceleratingHS',Accelerate,3.191991293,2.307006306,0.884984987
GR0326,6,'FastHS',Fast,2.645647181,2.307006306,0.338640875
GR0326,7,'DeceleratingHS',Decelerate,2.592502114,2.307006306,0.285495808
GR0326,8,'SlowHS',Slow,2.556802418,2.307006306,0.249796112
GR0327,2,'Baseline1125',Baseline 1.125 m/s,2.509267213,2.509267213,0
GR0327,5,'AcceleratingHS',Accelerate,3.098097889,2.509267213,0.588830676
GR0327,6,'FastHS',Fast,2.863171938,2.509267213,0.353904725
GR0327,7,'DeceleratingHS',Decelerate,2.967996563,2.509267213,0.45872935
GR0327,8,'SlowHS',Slow,2.98683751,2.509267213,0.477570297
GR0328,2,'Baseline1125',Baseline 1.125 m/s,1.938653087,1.938653087,0
GR0328,5,'FastHS',Fast,2.136599255,1.938653087,0.197946168
GR0328,6,'DeceleratingHS',Decelerate,2.505307571,1.938653087,0.566654484
GR0328,7,'SlowHS',Slow,2.772977337,1.938653087,0.83432425
GR0328,8,'AcceleratingHS',Accelerate,2.643039092,1.938653087,0.704386005
GR0329,2,'Baseline1125',Baseline 1.125 m/s,2.549265604,2.549265604,0
GR0329,5,'FastHS_2',Fast,3.491129896,2.549265604,0.941864292
GR0329,6,'DeceleratingHS',Decelerate,2.941654923,2.549265604,0.392389319
GR0329,7,'SlowHS',Slow,3.67426199,2.549265604,1.124996386
GR0329,8,'AcceleratingHS',Accelerate,3.402794652,2.549265604,0.853529048
GR0330,2,'Baseline1125',Baseline 1.125 m/s,1.964269666,1.964269666,0
GR0330,5,'AcceleratingHS',Accelerate,2.589682557,1.964269666,0.625412891
GR0330,6,'DeceleratingHS_2',Decelerate,3.056017904,1.964269666,1.091748238
GR0330,7,'FastHS',Fast,3.181983663,1.964269666,1.217713997
GR0330,8,'SlowHS',Slow,2.800184648,1.964269666,0.835914982
GR0331,2,'Baseline1125',Baseline 1.125 m/s,1.374004426,1.374004426,0
GR0331,5,'DeceleratingHS',Decelerate,2.467652315,1.374004426,1.093647889
GR0331,6,'AcceleratingHS',Accelerate,2.463332406,1.374004426,1.08932798
GR0331,7,'FastHS',Fast,2.483222812,1.374004426,1.109218386
GR0331,8,'SlowHS',Slow,2.695265713,1.374004426,1.321261287
GR0332,2,'Baseline1125',Baseline 1.125 m/s,2.4469903,2.4469903,0
GR0332,5,'AcceleratingHS',Accelerate,2.706274317,2.4469903,0.259284017
GR0332,6,'SlowHS',Slow,2.402768579,2.4469903,-0.044221721
GR0333,2,'Baseline1125',Baseline 1.125 m/s,2.136976247,2.136976247,0
GR0333,5,'SlowHS',Slow,2.980724499,2.136976247,0.843748252
GR0333,6,'AcceleratingHS',Accelerate,2.753600734,2.136976247,0.616624487
GR0333,7,'FastHS',Fast,3.012897346,2.136976247,0.875921099
GR0334,2,'Baseline1125',Baseline 1.125 m/s,2.529506052,2.529506052,0
GR0334,5,'DeceleratingHS',Decelerate,2.549051906,2.529506052,0.019545854
GR0334,6,'SlowHS',Slow,2.672912377,2.529506052,0.143406325
GR0334,7,'FastHS',Fast,2.806893284,2.529506052,0.277387232
GR0334,8,'AcceleratingHS',Accelerate,2.631731845,2.529506052,0.102225793
GR0335,2,'Baseline1125_5min',Baseline 1.125 m/s,2.612558613,2.612558613,0
GR0335,5,'FastHS',Fast,2.773045811,2.612558613,0.160487198
GR0335,6,'AcceleratingHS',Accelerate,2.140760906,2.612558613,-0.471797707
GR0335,7,'SlowHS',Slow,2.602074003,2.612558613,-0.01048461
GR0335,8,'DeceleratingHS',Decelerate,2.252028357,2.612558613,-0.360530256
GR0336,2,'Baseline1125',Baseline 1.125 m/s,2.751538892,2.751538892,0
GR0336,5,'FastHS',Fast,3.509290643,2.751538892,0.757751751
GR0336,6,'AcceleratingHS',Accelerate,3.178644198,2.751538892,0.427105306
GR0336,7,'DeceleratingHS',Decelerate,3.323497686,2.751538892,0.571958794
GR0336,8,'SlowHS',Slow,3.422072238,2.751538892,0.670533346
MLR049,2,'baseline_1125',Baseline 1.125 m/s,2.42338173,2.42338173,0
MLR049,5,'AcceleratingHS',Accelerate,3.814571911,2.42338173,1.391190181
MLR049,6,'FastHS',Fast,3.482775395,2.42338173,1.059393665
MLR049,7,'SlowHS_realone',Slow,3.207530014,2.42338173,0.784148284
MLR049,8,'DeceleratingHS',Decelerate,3.709828063,2.42338173,1.286446333
MLR050,2,'Baseline1125_actual',Baseline 1.125 m/s,2.256785355,2.256785355,0
MLR050,5,'AcceleratingHS',Accelerate,2.800024482,2.256785355,0.543239127
MLR050,6,'DeceleratingHS',Decelerate,3.318844998,2.256785355,1.062059643
MLR050,7,FastHS',Fast,3.22402726,2.256785355,0.967241905
MLR050,8,'SlowHS',Slow,3.090065385,2.256785355,0.83328003
