Subject,Block,Event Label,Event,Net Power,
GR0326,1,'Baseline075 redone',Baseline 0.75 m/s,1.644744667,
GR0326,2,'Baseline1125',Baseline 1.125 m/s,2.307006306,
GR0326,3,'Baseline150',Baseline 1.5 m/s,3.23153984,
GR0326,4,'OpenLoopPre',Open Loop - Pre,3.102634117,
GR0326,5,'AcceleratingHS',Accelerate,3.191991293,
GR0326,6,'FastHS',Fast,2.645647181,
GR0326,7,'DeceleratingHS',Decelerate,2.592502114,
GR0326,8,'SlowHS',Slow,2.556802418,
GR0326,9,'OpenLoopPost',Open Loop - Post,2.783440777,
GR0326,10,'Post150',Post 1.5 m/s,3.328996882,
GR0327,1,'Baseline075',Baseline 0.75 m/s,1.703512592,
GR0327,2,'Baseline1125',Baseline 1.125 m/s,2.509267213,
GR0327,3,'Baseline150',Baseline 1.5 m/s,3.13978148,
GR0327,4,'OpenLoopPre',Open Loop - Pre,3.23052527,
GR0327,5,'AcceleratingHS',Accelerate,3.098097889,
GR0327,6,'FastHS',Fast,2.863171938,
GR0327,7,'DeceleratingHS',Decelerate,2.967996563,
GR0327,8,'SlowHS',Slow,2.98683751,
GR0327,9,'OpenLoopPost',Open Loop - Post,3.073258128,
GR0327,10,'Post150',Post 1.5 m/s,4.074537686,
GR0328,1,'Baseline075',Baseline 0.75 m/s,0.942752979,
GR0328,2,'Baseline1125',Baseline 1.125 m/s,1.938653087,
GR0328,3,'Baseline150',Baseline 1.5 m/s,2.700627164,
GR0328,4,'OpenLoopPre',Open Loop - Pre,2.915715823,
GR0328,5,'FastHS',Fast,2.136599255,
GR0328,6,'DeceleratingHS',Decelerate,2.505307571,
GR0328,7,'SlowHS',Slow,2.772977337,
GR0328,8,'AcceleratingHS',Accelerate,2.643039092,
GR0328,9,'OpenLoopPost',Open Loop - Post,2.855415365,
GR0328,10,'Post150',Post 1.5 m/s,3.509949706,
GR0329,1,'Baseline075',Baseline 0.75 m/s,2.015043541,
GR0329,2,'Baseline1125',Baseline 1.125 m/s,2.549265604,
GR0329,3,'Baseline150',Baseline 1.5 m/s,4.239544802,
GR0329,4,'OpenLoopPre_4',Open Loop - Pre,3.175771515,
GR0329,5,'FastHS_2',Fast,3.491129896,
GR0329,6,'DeceleratingHS',Decelerate,2.941654923,
GR0329,7,'SlowHS',Slow,3.67426199,
GR0329,8,'AcceleratingHS',Accelerate,3.402794652,
GR0329,9,'OpenLoopPost',Open Loop - Post,3.551137034,
GR0329,10,'Post150',Post 1.5 m/s,4.422089437,
GR0330,1,'Baseline075',Baseline 0.75 m/s,1.538660465,
GR0330,2,'Baseline1125',Baseline 1.125 m/s,1.964269666,
GR0330,3,'Baseline150',Baseline 1.5 m/s,3.233323088,
GR0330,4,'OpenLoopPre',Open Loop - Pre,2.952361736,
GR0330,5,'AcceleratingHS',Accelerate,2.589682557,
GR0330,6,'DeceleratingHS_2',Decelerate,3.056017904,
GR0330,7,'FastHS',Fast,3.181983663,
GR0330,8,'SlowHS',Slow,2.800184648,
GR0330,9,'OpenLoopPost',Open Loop - Post,3.566340394,
GR0330,10,'Post150',Post 1.5 m/s,3.742219053,
GR0331,1,'Baseline075',Baseline 0.75 m/s,1.266800794,
GR0331,2,'Baseline1125',Baseline 1.125 m/s,1.374004426,
GR0331,3,'Baseline150',Baseline 1.5 m/s,2.422272131,
GR0331,4,'OpenLoopPre',Open Loop - Pre,2.491030464,
GR0331,5,'DeceleratingHS',Decelerate,2.467652315,
GR0331,6,'AcceleratingHS',Accelerate,2.463332406,
GR0331,7,'FastHS',Fast,2.483222812,
GR0331,8,'SlowHS',Slow,2.695265713,
GR0331,9,'OpenLoopPost',Open Loop - Post,2.726886853,
GR0331,10,'Post150',Post 1.5 m/s,3.125629203,
GR0332,1,'Baseline075',Baseline 0.75 m/s,1.776074712,
GR0332,2,'Baseline1125',Baseline 1.125 m/s,2.4469903,
GR0332,3,'Baseline150',Baseline 1.5 m/s,3.613365255,
GR0332,4,'OpenLoopPre',Open Loop - Pre,3.066337621,
GR0332,5,'AcceleratingHS',Accelerate,2.706274317,
GR0332,6,'SlowHS',Slow,2.402768579,
GR0333,1,'Baseline075',Baseline 0.75 m/s,1.669209618,
GR0333,2,'Baseline1125',Baseline 1.125 m/s,2.136976247,
GR0333,3,'Baseline150',Baseline 1.5 m/s,2.925655437,
GR0333,4,'OpenLoopPre',Open Loop - Pre,2.672396087,
GR0333,5,'SlowHS',Slow,2.980724499,
GR0333,6,'AcceleratingHS',Accelerate,2.753600734,
GR0333,7,'FastHS',Fast,3.012897346,
GR0334,1,'Baseline075',Baseline 0.75 m/s,1.799476615,
GR0334,2,'Baseline1125',Baseline 1.125 m/s,2.529506052,
GR0334,3,'Baseline150',Baseline 1.5 m/s,4.066255116,
GR0334,4,'OpenLoopPre',Open Loop - Pre,2.726405224,
GR0334,5,'DeceleratingHS',Decelerate,2.549051906,
GR0334,6,'SlowHS',Slow,2.672912377,
GR0334,7,'FastHS',Fast,2.806893284,
GR0334,8,'AcceleratingHS',Accelerate,2.631731845,
GR0334,9,'OpenLoopPost',Open Loop - Post,2.88056403,
GR0334,10,'Post150',Post 1.5 m/s,3.578040669,
GR0335,1,'Baseline075',Baseline 0.75 m/s,1.575816754,
GR0335,2,'Baseline1125_5min',Baseline 1.125 m/s,2.612558613,
GR0335,3,'Baseline150',Baseline 1.5 m/s,3.536649805,
GR0335,4,'OpenLoopPre',Open Loop - Pre,2.504715709,
GR0335,5,'FastHS',Fast,2.773045811,
GR0335,6,'AcceleratingHS',Accelerate,2.140760906,
GR0335,7,'SlowHS',Slow,2.602074003,
GR0335,8,'DeceleratingHS',Decelerate,2.252028357,
GR0335,9,'OpenLoopPost',Open Loop - Post,2.657416913,
GR0335,10,'Post150',Post 1.5 m/s,3.515837307,
GR0336,1,'Baseline075',Baseline 0.75 m/s,2.100929894,
GR0336,2,'Baseline1125',Baseline 1.125 m/s,2.751538892,
GR0336,3,'Baseline150',Baseline 1.5 m/s,3.841304695,
GR0336,4,'OpenLoopPre',Open Loop - Pre,3.566290658,
GR0336,5,'FastHS',Fast,3.509290643,
GR0336,6,'AcceleratingHS',Accelerate,3.178644198,
GR0336,7,'DeceleratingHS',Decelerate,3.323497686,
GR0336,8,'SlowHS',Slow,3.422072238,
GR0336,9,'OpenLoopPost',Open Loop - Post,3.433556599,
GR0336,10,'Post150',Post 1.5 m/s,4.413794212,
MLR049,1,'Baseline075',Baseline 0.75 m/s,1.474859862,
MLR049,2,'baseline_1125',Baseline 1.125 m/s,2.42338173,
MLR049,3,'Baseline150',Baseline 1.5 m/s,3.582497906,
MLR049,4,'OpenLoopPre',Open Loop - Pre,3.764690874,
MLR049,5,'AcceleratingHS',Accelerate,3.814571911,
MLR049,6,'FastHS',Fast,3.482775395,
MLR049,7,'SlowHS_realone',Slow,3.207530014,
MLR049,8,'DeceleratingHS',Decelerate,3.709828063,
MLR049,9,'OpenLoopPost',Open Loop - Post,3.329146052,
MLR049,10,'Post150_realone',Post 1.5 m/s,3.757324332,
MLR050,1,'Baseline075',Baseline 0.75 m/s,1.434430561,
MLR050,2,'Baseline1125_actual',Baseline 1.125 m/s,2.256785355,
MLR050,3,'Baseline150',Baseline 1.5 m/s,3.463779504,
MLR050,4,'OpenLoopPre',Open Loop - Pre,2.990350346,
MLR050,5,'AcceleratingHS',Accelerate,2.800024482,
MLR050,6,'DeceleratingHS',Decelerate,3.318844998,
MLR050,7,FastHS',Fast,3.22402726,
MLR050,8,'SlowHS',Slow,3.090065385,
MLR050,9,'OpenLoopPost',Open Loop - Post,3.009484101,
MLR050,10,'Post150',Post 1.5 m/s,3.798030567,
